1 19
1 17
1 16
1 15
1 14
2 20
2 21
3 4
3 5
3 13
4 3
4 5
5 3
5 4
5 13
5 15
5 8
6 7
6 11
6 14
6 16
7 6
7 16
7 18
8 5
8 9
8 15
8 19
9 8
9 10
10 9
10 20
11 6
11 12
11 14
12 11
12 13
12 14
12 15
13 3
13 5
13 12
13 15
14 1
14 6
14 11
14 12
14 15
14 16
15 1
15 19
15 8
15 5
15 13
15 12
15 14
16 14
16 6
16 7
16 18
16 17
16 1
17 18
17 19
17 1
17 16
18 7
18 17
18 16
19 17
19 8
19 15
19 1
20 10
20 2
21 2
21 22
23 22
23 26
24 25
24 26
25 26
25 24
25 28
26 23
26 24
26 25
27 28
27 25
27 29
27 32
28 25
28 27
28 29
29 27
29 28
29 32
30 31
30 33
30 34
30 32
31 32
31 30
32 29
32 31
32 30
32 34
33 30
33 34
34 32
34 30
34 33
